"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.366948438,      -13.12854599,       -13.3415575,       1.377173486,      -5.899882309
          0,           0,           1,      -4.348443894,      -1.998509971,      -2.025296552,       1.124201672,      -6.093569762
          0,           0,           2,      -4.291083242,       -2.17405681,      -2.091725282,      0.9441008663,      -6.326875385
          0,           0,           3,      -4.253802749,      -2.181639889,      -2.146356143,       0.880189381,      -6.505572091
          0,           0,           4,      -4.256115962,        -2.1762097,      -2.162046394,      0.8477374741,      -6.705026783
          0,           0,           5,      -4.276219765,      -2.168389471,       -2.17036156,      0.8207873069,      -6.769017854
          0,           0,           6,       -4.28792061,      -2.163733409,      -2.171904959,      0.8122359898,      -6.821105863
          0,           0,           7,      -4.297930466,      -2.161620865,      -2.168114642,      0.8089793781,      -6.865822351
          0,           0,           8,      -4.307393421,      -2.160369138,      -2.161040126,      0.8095686804,       -6.91854043
          0,           0,           9,       -4.31597596,      -2.160474308,      -2.153836221,      0.8098844341,      -6.962696906
          0,           0,          10,      -4.324457432,      -2.161366597,      -2.147761843,      0.8106111561,      -6.995683459
          0,           0,          11,      -4.332243538,       -2.16284249,      -2.141612469,      0.8119125057,      -7.021587527
          0,           0,          12,      -4.339585328,      -2.164575191,      -2.136357823,      0.8139825546,      -7.043573182
          0,           0,          13,      -4.346661378,      -2.166489534,      -2.131945514,      0.8164276145,      -7.063642403
          0,           0,          14,      -4.353562191,      -2.168444482,      -2.128371067,      0.8196068074,      -7.085038884
          0,           0,          15,      -4.360676102,      -2.170225124,      -2.125694791,      0.8233544158,      -7.105139786
          0,           0,          16,      -4.367969824,      -2.171602311,      -2.123863442,      0.8276034562,      -7.123298396
          0,           0,          17,      -4.375592915,       -2.17240234,      -2.122629043,       0.832356914,      -7.139334952
          0,           0,          18,      -4.383397637,      -2.172601426,      -2.121777761,      0.8372143986,      -7.153569745
          0,           0,          19,      -4.391345357,       -2.17223088,      -2.121014504,      0.8421486778,      -7.166611649
          0,           0,          20,      -4.399332963,      -2.171305855,      -2.120216835,      0.8473721391,      -7.178849866
          0,           0,          21,      -4.407116992,      -2.170062109,       -2.11936413,      0.8529022603,      -7.190833087
          0,           0,          22,      -4.414508888,      -2.168814712,      -2.118479282,      0.8585887892,      -7.202164743
          0,           0,          23,      -4.421486344,      -2.167733254,      -2.117706128,       0.864697829,      -7.212696147
          0,           0,          24,      -4.427751091,      -2.166904001,      -2.117036104,      0.8712205314,       -7.22223455
          0,           0,          25,      -4.433236425,      -2.166397099,      -2.116511681,      0.8783324087,      -7.230889022
          0,           0,          26,      -4.437955698,      -2.166194468,      -2.116107863,       0.885815643,      -7.238660947
          0,           0,          27,      -4.441833697,      -2.166129052,       -2.11579436,      0.8936790801,      -7.245569997
          0,           0,          28,      -4.444840964,      -2.166055221,      -2.115459801,      0.9016784284,      -7.251770826
          0,           0,          29,      -4.447137563,      -2.165784742,      -2.115045979,      0.9095745338,       -7.25738807
          0,           0,          30,      -4.448851913,      -2.164920518,      -2.114469918,       0.917213609,      -7.262442291
