    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
     -0.9824584974,       1.352076116,       1.761753706,       4.497998895,      0.2290529063,       4.281655773
      -1.025649853,       1.339975607,       1.745889204,       4.453893172,      0.2209356051,       4.270570795
      -1.063636623,        1.32404239,        1.72851689,       4.414818946,      0.2354360908,       4.269582719
      -1.074693532,         1.3066441,       1.709650837,       4.403135509,      0.2533215058,       4.275380278
      -1.039601788,        1.28836417,       1.689705351,       4.440025874,      0.2935955904,       4.297222277
       -0.96022242,       1.270521669,       1.669366419,       4.525418283,      0.3547118308,       4.338874772
     -0.8566782848,       1.255821234,       1.649581858,       4.639529685,      0.4427111808,        4.40612136
     -0.7468999611,       1.249242367,       1.631300822,       4.764820872,      0.5567678172,       4.498359958
     -0.6420426047,       1.258074142,       1.614629072,       4.891052095,      0.6796118171,       4.591904709
      -0.565802507,       1.279752202,       1.596457816,       4.990038486,      0.8111188889,        4.68478542
     -0.5132235258,       1.313018063,       1.575715247,       5.065130088,      0.9340779285,       4.758472187
     -0.4879668573,       1.350168857,       1.552342777,       5.112345338,       1.038827037,       4.796471629
     -0.4959618965,       1.375029289,       1.524088119,       5.120660062,       1.115213613,       4.781296341
     -0.5522663174,       1.373658933,       1.491819899,       5.073136214,       1.058807803,         4.5913194
     -0.6675627725,       1.344645192,       1.461101056,       4.952198372,      0.7711970844,        4.40994711
     -0.8430255173,       1.283934455,       1.419223011,       4.736519832,       0.614508699,       4.681344406
     -0.9669540528,        1.19080617,       1.351795417,       4.570546608,      0.7703151791,       4.768905624
     -0.9120007962,       1.085006034,       1.256530507,       4.681106085,      0.7759952105,       4.727313994
     -0.8510104931,       1.016799336,       1.142963272,       4.755021662,      0.6511733609,       4.597375659
      -0.854614156,      0.9981633403,       1.033293784,       4.736722663,      0.4016700356,       4.404582573
     -0.9260318911,      0.9709049714,      0.9518586902,       4.640240822,     0.05653744614,       4.178618828
      -1.073104011,      0.9050887321,      0.8874385714,       4.464736661,      0.1914902597,       4.012227668
      -1.318296255,      0.8313013354,       0.800836091,       4.186898618,      0.3656473005,       3.927503196
      -1.554213874,       0.826163646,      0.6961940019,       3.918344148,      0.4918538604,       3.885607165
      -1.602912804,      0.8379371262,      0.6005898462,       3.890295038,      0.5767772265,       3.846011953
      -1.646917117,      0.8029752674,      0.5301543567,       3.864265786,      0.6292372874,       3.801259114
      -1.741913548,      0.7420301774,      0.4888016521,       3.762417659,      0.6640830568,       3.773664593
      -1.843617749,      0.6858574916,      0.4539011278,       3.634306436,       0.687498042,       3.742242602
      -1.913094647,      0.6446100303,      0.4123747142,       3.544381294,      0.7072458785,       3.705672625
      -1.951982315,      0.6128534665,      0.3682716529,       3.507232573,      0.7268873916,       3.661302479
      -1.979872175,      0.5826018989,      0.3275317141,       3.489766378,       0.745735021,       3.615728281
       -2.00310017,      0.5499027565,       0.291762711,       3.474762911,      0.7615846798,       3.573722453
      -2.019695098,      0.5141375946,      0.2600917779,       3.462123432,      0.7733796794,       3.536977253
       -2.02907049,       0.476610126,       0.232298641,       3.453779604,      0.7800201034,       3.508561128
       -2.03481022,       0.438942045,      0.2084659235,       3.447597924,      0.7806121395,       3.493004999
      -2.035889577,      0.4034046429,      0.1876444854,        3.44763194,      0.7750195212,        3.48533094
      -2.040748862,      0.3689256446,      0.1654563545,       3.443071603,      0.7655769531,       3.476472463
      -2.048338343,      0.3351425812,       0.141698964,       3.436477924,      0.7508840077,       3.467662341
      -2.058717298,      0.3019178681,      0.1179343723,       3.427613792,      0.7343417719,       3.457825056
       -2.07205382,      0.2688146589,     0.09624204611,       3.415348687,       0.718593749,       3.431939564
      -2.087687167,      0.2346158793,     0.07629949414,       3.399898353,      0.7046797627,       3.404837526
      -2.105314315,      0.1994462805,      0.0601942676,       3.381007061,      0.6837318283,       3.381722954
      -2.125274023,      0.1634430811,     0.04585698668,       3.358483867,      0.6618911893,       3.361327021
      -2.146892015,       0.129007679,     0.03478280526,       3.333307053,      0.6490121953,       3.342326048
      -2.169563917,     0.09850116328,     0.02615383658,       3.306462783,      0.6485368793,       3.323916675
      -2.192487374,     0.07396057331,     0.01895163114,        3.27908014,      0.6602432409,       3.305402167
      -2.214936817,     0.05608745776,     0.01164683219,        3.25214747,      0.6809621641,        3.28693123
